latency_cycles, datasize, seal
28652.000000,1,true
28660.000000,1,true
28676.000000,1,true
28722.000000,1,true
28734.000000,1,true
28746.000000,1,true
28754.000000,1,true
28778.000000,1,true
28820.000000,1,true
28842.000000,1,true
28842.000000,1,true
28872.000000,1,true
28886.000000,1,true
28920.000000,1,true
28958.000000,1,true
28964.000000,1,true
28966.000000,1,true
28982.000000,1,true
28990.000000,1,true
28994.000000,1,true
29012.000000,1,true
29014.000000,1,true
29016.000000,1,true
29016.000000,1,true
29022.000000,1,true
29026.000000,1,true
29038.000000,1,true
29040.000000,1,true
29056.000000,1,true
29068.000000,1,true
29068.000000,1,true
29076.000000,1,true
29078.000000,1,true
29096.000000,1,true
29106.000000,1,true
29114.000000,1,true
29116.000000,1,true
29118.000000,1,true
29118.000000,1,true
29130.000000,1,true
29134.000000,1,true
29136.000000,1,true
29140.000000,1,true
29144.000000,1,true
29144.000000,1,true
29148.000000,1,true
29150.000000,1,true
29152.000000,1,true
29152.000000,1,true
29164.000000,1,true
29166.000000,1,true
29170.000000,1,true
29172.000000,1,true
29174.000000,1,true
29182.000000,1,true
29182.000000,1,true
29186.000000,1,true
29186.000000,1,true
29188.000000,1,true
29190.000000,1,true
29192.000000,1,true
29192.000000,1,true
29198.000000,1,true
29200.000000,1,true
29200.000000,1,true
29202.000000,1,true
29206.000000,1,true
29208.000000,1,true
29212.000000,1,true
29212.000000,1,true
29214.000000,1,true
29220.000000,1,true
29222.000000,1,true
29226.000000,1,true
29228.000000,1,true
29230.000000,1,true
29230.000000,1,true
29234.000000,1,true
29236.000000,1,true
29236.000000,1,true
29238.000000,1,true
29240.000000,1,true
29242.000000,1,true
29244.000000,1,true
29244.000000,1,true
29244.000000,1,true
29244.000000,1,true
29246.000000,1,true
29246.000000,1,true
29248.000000,1,true
29248.000000,1,true
29248.000000,1,true
29252.000000,1,true
29256.000000,1,true
29258.000000,1,true
29260.000000,1,true
29260.000000,1,true
29262.000000,1,true
29264.000000,1,true
29268.000000,1,true
29270.000000,1,true
29270.000000,1,true
29270.000000,1,true
29274.000000,1,true
29276.000000,1,true
29278.000000,1,true
29278.000000,1,true
29280.000000,1,true
29284.000000,1,true
29286.000000,1,true
29288.000000,1,true
29288.000000,1,true
29290.000000,1,true
29290.000000,1,true
29290.000000,1,true
29296.000000,1,true
29298.000000,1,true
29300.000000,1,true
29304.000000,1,true
29308.000000,1,true
29310.000000,1,true
29312.000000,1,true
29312.000000,1,true
29314.000000,1,true
29314.000000,1,true
29316.000000,1,true
29316.000000,1,true
29318.000000,1,true
29318.000000,1,true
29322.000000,1,true
29322.000000,1,true
29322.000000,1,true
